Date,Open,High,Low,Close,Adj Close,Volume
Jul 23,31.62,31.83,31.33,31.62,31.62,1,115
Jul 22,31.80,31.95,31.19,31.84,31.84,347
Jul 19,32.53,32.53,31.73,32.17,32.17,223
Jul 18,31.84,32.76,31.82,32.67,32.67,199
Jul 17,32.90,33.25,31.60,31.89,31.89,751
Jul 16,31.50,33.02,31.50,32.80,32.80,386
Jul 15,31.86,31.93,31.08,31.37,31.37,796
Jul 12,31.27,32.28,30.92,31.72,31.72,899
Jul 11,30.85,31.41,30.41,31.11,31.11,849
Jul 10,31.25,31.69,30.64,30.78,30.78,1,395
Jul 9,32.17,32.17,30.95,31.33,31.33,1,054
Jul 8,33.19,33.70,32.05,32.29,32.29,1,010
Jul 5,32.51,33.80,32.42,33.07,33.07,790
Jul 3,33.25,33.39,32.65,32.69,32.69,1,244
Jul 2,33.53,33.87,33.17,33.69,33.69,668
Jul 1,34.50,34.94,33.42,33.49,33.49,208
Jun 28,34.67,34.74,34.05,34.48,34.48,457
Jun 27,34.13,34.56,34.13,34.56,34.56,79
Jun 26,35.15,35.15,33.82,33.82,33.82,77
Jun 25,34.33,34.88,34.33,34.85,34.85,172
Jun 24,33.80,34.55,33.80,34.08,34.08,213
Jun 21,34.40,34.56,33.87,33.94,33.94,522
Jun 20,34.53,35.69,34.25,34.46,34.46,894
Jun 18,34.28,35.05,34.28,34.70,34.70,604
Jun 17,35.40,35.40,34.20,34.21,34.21,412
Jun 14,35.38,36.04,34.85,35.36,35.36,407
Jun 13,35.67,36.75,35.56,35.72,35.72,396
Jun 12,34.06,36.03,33.93,35.29,35.29,426
Jun 11,33.67,35.33,33.58,34.28,34.28,263
Jun 10,33.01,34.67,32.43,34.26,34.26,617
Jun 7,32.88,33.40,32.81,33.11,33.11,363
Jun 6,33.22,34.15,32.96,33.69,33.69,428
Jun 5,33.75,34.38,33.17,33.35,33.35,1,080
Jun 4,36.08,36.48,33.69,33.80,33.80,931
Jun 3,36.23,38.50,35.69,36.01,36.01,427
May 31,35.28,35.70,34.13,34.22,34.22,370
May 30,33.88,35.19,33.60,35.19,35.19,219
May 29,34.13,34.30,33.40,33.88,33.88,167
May 28,34.41,34.80,33.38,33.53,33.53,159
May 24,35.60,35.60,33.50,34.12,34.12,756
